PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,alone,deck,has_deck,Surname,Title,n_fam,FamilyID,Family_Survival_Rate
46,No,Third,"Rogers, Mr. William John",male,Young Adults (19-30),0,0,S.C./A.4. 23567,8.05,UNK,S,True,UNK,0,Rogers,Mr,0,-1,-1
47,No,Third,"Lennon, Mr. Denis",male,Young Adults (19-30),1,0,370371,15.5,UNK,Q,False,UNK,0,Lennon,Mr,1,-1,-1
48,Yes,Third,"O'Driscoll, Miss. Bridget",female,Young Adults (19-30),0,0,14311,7.75,UNK,Q,True,UNK,0,O'Driscoll,Miss,0,-1,-1
49,No,Third,"Samaan, Mr. Youssef",male,Young Adults (19-30),2,0,2662,21.6792,UNK,C,False,UNK,0,Samaan,Mr,2,-1,-1
50,No,Third,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,Teens (13-18),1,0,349237,17.8,UNK,S,False,UNK,0,Arnold-Franchi,Mrs,1,2,0
51,No,Third,"Panula, Master. Juha Niilo",male,Infants (0-12),4,1,3101295,39.6875,UNK,S,False,UNK,0,Panula,Master,5,40,0
52,No,Third,"Nosworthy, Mr. Richard Cater",male,Young Adults (19-30),0,0,A/4. 39886,7.8,UNK,S,True,UNK,0,Nosworthy,Mr,0,-1,-1
53,Yes,First,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,Middle Age (46-60),1,0,PC 17572,76.7292,D33,C,False,D,1,Harper,Mrs,1,20,1
54,Yes,Second,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,Young Adults (19-30),1,0,2926,26.0,UNK,S,False,UNK,0,Faunthorpe,Mrs,1,-1,-1
55,No,First,"Ostby, Mr. Engelhart Cornelius",male,Elderly (60+),0,1,113509,61.9792,B30,C,False,B,1,Ostby,Mr,1,-1,-1
56,Yes,First,"Woolner, Mr. Hugh",male,Adults (31-45),0,0,19947,35.5,C52,S,True,C,1,Woolner,Mr,0,-1,-1
57,Yes,Second,"Rugg, Miss. Emily",female,Young Adults (19-30),0,0,C.A. 31026,10.5,UNK,S,True,UNK,0,Rugg,Miss,0,-1,-1
58,No,Third,"Novel, Mr. Mansouer",male,Young Adults (19-30),0,0,2697,7.2292,UNK,C,True,UNK,0,Novel,Mr,0,-1,-1
59,Yes,Second,"West, Miss. Constance Mirium",female,Infants (0-12),1,2,C.A. 34651,27.75,UNK,S,False,UNK,0,West,Miss,3,-1,-1
60,No,Third,"Goodwin, Master. William Frederick",male,Infants (0-12),5,2,CA 2144,46.9,UNK,S,False,UNK,0,Goodwin,Master,7,-1,-1
61,No,Third,"Sirayanian, Mr. Orsen",male,Young Adults (19-30),0,0,2669,7.2292,UNK,C,True,UNK,0,Sirayanian,Mr,0,-1,-1
62,Yes,First,"Icard, Miss. Amelie",female,Adults (31-45),0,0,113572,80.0,B28,S,True,B,1,Icard,Miss,0,-1,-1
63,No,First,"Harris, Mr. Henry Birkhardt",male,Adults (31-45),1,0,36973,83.475,C83,S,False,C,1,Harris,Mr,1,21,0
64,No,Third,"Skoog, Master. Harald",male,Infants (0-12),3,2,347088,27.9,UNK,S,False,UNK,0,Skoog,Master,5,44,0
65,No,First,"Stewart, Mr. Albert A",male,Adults (31-45),0,0,PC 17605,27.7208,UNK,C,True,UNK,0,Stewart,Mr,0,-1,-1
66,Yes,Third,"Moubarek, Master. Gerios",male,Young Adults (19-30),1,1,2661,15.2458,UNK,C,False,UNK,0,Moubarek,Master,2,-1,-1
67,Yes,Second,"Nye, Mrs. (Elizabeth Ramell)",female,Young Adults (19-30),0,0,C.A. 29395,10.5,F33,S,True,F,1,Nye,Mrs,0,-1,-1
68,No,Third,"Crease, Mr. Ernest James",male,Young Adults (19-30),0,0,S.P. 3464,8.1583,UNK,S,True,UNK,0,Crease,Mr,0,-1,-1
69,Yes,Third,"Andersson, Miss. Erna Alexandra",female,Teens (13-18),4,2,3101281,7.925,UNK,S,False,UNK,0,Andersson,Miss,6,-1,-1
70,No,Third,"Kink, Mr. Vincenz",male,Young Adults (19-30),2,0,315151,8.6625,UNK,S,False,UNK,0,Kink,Mr,2,-1,-1
71,No,Second,"Jenkin, Mr. Stephen Curnow",male,Adults (31-45),0,0,C.A. 33111,10.5,UNK,S,True,UNK,0,Jenkin,Mr,0,-1,-1
72,No,Third,"Goodwin, Miss. Lillian Amy",female,Teens (13-18),5,2,CA 2144,46.9,UNK,S,False,UNK,0,Goodwin,Miss,7,-1,-1
73,No,Second,"Hood, Mr. Ambrose Jr",male,Young Adults (19-30),0,0,S.O.C. 14879,73.5,UNK,S,True,UNK,0,Hood,Mr,0,-1,-1
74,No,Third,"Chronopoulos, Mr. Apostolos",male,Young Adults (19-30),1,0,2680,14.4542,UNK,C,False,UNK,0,Chronopoulos,Mr,1,-1,-1
75,Yes,Third,"Bing, Mr. Lee",male,Adults (31-45),0,0,1601,56.4958,UNK,S,True,UNK,0,Bing,Mr,0,-1,-1
76,No,Third,"Moen, Mr. Sigurd Hansen",male,Young Adults (19-30),0,0,348123,7.65,F G73,S,True,F,1,Moen,Mr,0,-1,-1
77,No,Third,"Staneff, Mr. Ivan",male,Young Adults (19-30),0,0,349208,7.8958,UNK,S,True,UNK,0,Staneff,Mr,0,-1,-1
78,No,Third,"Moutal, Mr. Rahamin Haim",male,Young Adults (19-30),0,0,374746,8.05,UNK,S,True,UNK,0,Moutal,Mr,0,-1,-1
79,Yes,Second,"Caldwell, Master. Alden Gates",male,Infants (0-12),0,2,248738,29.0,UNK,S,False,UNK,0,Caldwell,Master,2,-1,-1
80,Yes,Third,"Dowdell, Miss. Elizabeth",female,Young Adults (19-30),0,0,364516,12.475,UNK,S,True,UNK,0,Dowdell,Miss,0,-1,-1
81,No,Third,"Waelens, Mr. Achille",male,Young Adults (19-30),0,0,345767,9.0,UNK,S,True,UNK,0,Waelens,Mr,0,-1,-1
82,Yes,Third,"Sheerlinck, Mr. Jan Baptist",male,Young Adults (19-30),0,0,345779,9.5,UNK,S,True,UNK,0,Sheerlinck,Mr,0,-1,-1
83,Yes,Third,"McDermott, Miss. Brigdet Delia",female,Young Adults (19-30),0,0,330932,7.7875,UNK,Q,True,UNK,0,McDermott,Miss,0,-1,-1
84,No,First,"Carrau, Mr. Francisco M",male,Young Adults (19-30),0,0,113059,47.1,UNK,S,True,UNK,0,Carrau,Mr,0,-1,-1
85,Yes,Second,"Ilett, Miss. Bertha",female,Teens (13-18),0,0,SO/C 14885,10.5,UNK,S,True,UNK,0,Ilett,Miss,0,-1,-1
86,Yes,Third,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,Adults (31-45),3,0,3101278,15.85,UNK,S,False,UNK,0,Backstrom,Mrs,3,-1,-1
87,No,Third,"Ford, Mr. William Neal",male,Teens (13-18),1,3,W./C. 6608,34.375,UNK,S,False,UNK,0,Ford,Mr,4,-1,-1
88,No,Third,"Slocovski, Mr. Selman Francis",male,Young Adults (19-30),0,0,SOTON/OQ 392086,8.05,UNK,S,True,UNK,0,Slocovski,Mr,0,-1,-1
89,Yes,First,"Fortune, Miss. Mabel Helen",female,Young Adults (19-30),3,2,19950,263.0,C23 C25 C27,S,False,C,1,Fortune,Miss,5,-1,-1
90,No,Third,"Celotti, Mr. Francesco",male,Young Adults (19-30),0,0,343275,8.05,UNK,S,True,UNK,0,Celotti,Mr,0,-1,-1
91,No,Third,"Christmann, Mr. Emil",male,Young Adults (19-30),0,0,343276,8.05,UNK,S,True,UNK,0,Christmann,Mr,0,-1,-1
92,No,Third,"Andreasson, Mr. Paul Edvin",male,Young Adults (19-30),0,0,347466,7.8542,UNK,S,True,UNK,0,Andreasson,Mr,0,-1,-1
93,No,First,"Chaffee, Mr. Herbert Fuller",male,Middle Age (46-60),1,0,W.E.P. 5734,61.175,E31,S,False,E,1,Chaffee,Mr,1,-1,-1
94,No,Third,"Dean, Mr. Bertram Frank",male,Young Adults (19-30),1,2,C.A. 2315,20.575,UNK,S,False,UNK,0,Dean,Mr,3,-1,-1
95,No,Third,"Coxon, Mr. Daniel",male,Middle Age (46-60),0,0,364500,7.25,UNK,S,True,UNK,0,Coxon,Mr,0,-1,-1
96,No,Third,"Shorney, Mr. Charles Joseph",male,Young Adults (19-30),0,0,374910,8.05,UNK,S,True,UNK,0,Shorney,Mr,0,-1,-1
97,No,First,"Goldschmidt, Mr. George B",male,Elderly (60+),0,0,PC 17754,34.6542,A5,C,True,A,1,Goldschmidt,Mr,0,-1,-1
98,Yes,First,"Greenfield, Mr. William Bertram",male,Young Adults (19-30),0,1,PC 17759,63.3583,D10 D12,C,False,D,1,Greenfield,Mr,1,-1,-1
99,Yes,Second,"Doling, Mrs. John T (Ada Julia Bone)",female,Adults (31-45),0,1,231919,23.0,UNK,S,False,UNK,0,Doling,Mrs,1,13,1
100,No,Second,"Kantor, Mr. Sinai",male,Adults (31-45),1,0,244367,26.0,UNK,S,False,UNK,0,Kantor,Mr,1,28,0
101,No,Third,"Petranec, Miss. Matilda",female,Young Adults (19-30),0,0,349245,7.8958,UNK,S,True,UNK,0,Petranec,Miss,0,-1,-1
102,No,Third,"Petroff, Mr. Pastcho (""Pentcho"")",male,Young Adults (19-30),0,0,349215,7.8958,UNK,S,True,UNK,0,Petroff,Mr,0,-1,-1
103,No,First,"White, Mr. Richard Frasar",male,Young Adults (19-30),0,1,35281,77.2875,D26,S,False,D,1,White,Mr,1,51,0
104,No,Third,"Johansson, Mr. Gustaf Joel",male,Adults (31-45),0,0,7540,8.6542,UNK,S,True,UNK,0,Johansson,Mr,0,-1,-1
105,No,Third,"Gustafsson, Mr. Anders Vilhelm",male,Adults (31-45),2,0,3101276,7.925,UNK,S,False,UNK,0,Gustafsson,Mr,2,-1,-1
106,No,Third,"Mionoff, Mr. Stoytcho",male,Young Adults (19-30),0,0,349207,7.8958,UNK,S,True,UNK,0,Mionoff,Mr,0,-1,-1
107,Yes,Third,"Salkjelsvik, Miss. Anna Kristine",female,Young Adults (19-30),0,0,343120,7.65,UNK,S,True,UNK,0,Salkjelsvik,Miss,0,-1,-1
108,Yes,Third,"Moss, Mr. Albert Johan",male,Young Adults (19-30),0,0,312991,7.775,UNK,S,True,UNK,0,Moss,Mr,0,-1,-1
109,No,Third,"Rekic, Mr. Tido",male,Adults (31-45),0,0,349249,7.8958,UNK,S,True,UNK,0,Rekic,Mr,0,-1,-1
110,Yes,Third,"Moran, Miss. Bertha",female,Young Adults (19-30),1,0,371110,24.15,UNK,Q,False,UNK,0,Moran,Miss,1,33,0
111,No,First,"Porter, Mr. Walter Chamberlain",male,Middle Age (46-60),0,0,110465,52.0,C110,S,True,C,1,Porter,Mr,0,-1,-1
112,No,Third,"Zabour, Miss. Hileni",female,Teens (13-18),1,0,2665,14.4542,UNK,C,False,UNK,0,Zabour,Miss,1,53,0
113,No,Third,"Barton, Mr. David John",male,Young Adults (19-30),0,0,324669,8.05,UNK,S,True,UNK,0,Barton,Mr,0,-1,-1
114,No,Third,"Jussila, Miss. Katriina",female,Young Adults (19-30),1,0,4136,9.825,UNK,S,False,UNK,0,Jussila,Miss,1,-1,-1
115,No,Third,"Attalah, Miss. Malake",female,Teens (13-18),0,0,2627,14.4583,UNK,C,True,UNK,0,Attalah,Miss,0,-1,-1
116,No,Third,"Pekoniemi, Mr. Edvard",male,Young Adults (19-30),0,0,STON/O 2. 3101294,7.925,UNK,S,True,UNK,0,Pekoniemi,Mr,0,-1,-1
117,No,Third,"Connors, Mr. Patrick",male,Elderly (60+),0,0,370369,7.75,UNK,Q,True,UNK,0,Connors,Mr,0,-1,-1
118,No,Second,"Turpin, Mr. William John Robert",male,Young Adults (19-30),1,0,11668,21.0,UNK,S,False,UNK,0,Turpin,Mr,1,49,0
119,No,First,"Baxter, Mr. Quigg Edmond",male,Young Adults (19-30),0,1,PC 17558,247.5208,B58 B60,C,False,B,1,Baxter,Mr,1,5,0
120,No,Third,"Andersson, Miss. Ellis Anna Maria",female,Infants (0-12),4,2,347082,31.275,UNK,S,False,UNK,0,Andersson,Miss,6,1,0
121,No,Second,"Hickman, Mr. Stanley George",male,Young Adults (19-30),2,0,S.O.C. 14879,73.5,UNK,S,False,UNK,0,Hickman,Mr,2,23,0
122,No,Third,"Moore, Mr. Leonard Charles",male,Young Adults (19-30),0,0,A4. 54510,8.05,UNK,S,True,UNK,0,Moore,Mr,0,-1,-1
123,No,Second,"Nasser, Mr. Nicholas",male,Adults (31-45),1,0,237736,30.0708,UNK,C,False,UNK,0,Nasser,Mr,1,35,0
124,Yes,Second,"Webber, Miss. Susan",female,Adults (31-45),0,0,27267,13.0,E101,S,True,E,1,Webber,Miss,0,-1,-1
125,No,First,"White, Mr. Percival Wayland",male,Middle Age (46-60),0,1,35281,77.2875,D26,S,False,D,1,White,Mr,1,51,0
126,Yes,Third,"Nicola-Yarred, Master. Elias",male,Infants (0-12),1,0,2651,11.2417,UNK,C,False,UNK,0,Nicola-Yarred,Master,1,38,1
127,No,Third,"McMahon, Mr. Martin",male,Young Adults (19-30),0,0,370372,7.75,UNK,Q,True,UNK,0,McMahon,Mr,0,-1,-1
128,Yes,Third,"Madsen, Mr. Fridtjof Arne",male,Young Adults (19-30),0,0,C 17369,7.1417,UNK,S,True,UNK,0,Madsen,Mr,0,-1,-1
129,Yes,Third,"Peter, Miss. Anna",female,Young Adults (19-30),1,1,2668,22.3583,F E69,C,False,F,1,Peter,Miss,2,-1,-1
130,No,Third,"Ekstrom, Mr. Johan",male,Adults (31-45),0,0,347061,6.975,UNK,S,True,UNK,0,Ekstrom,Mr,0,-1,-1
131,No,Third,"Drazenoic, Mr. Jozef",male,Adults (31-45),0,0,349241,7.8958,UNK,C,True,UNK,0,Drazenoic,Mr,0,-1,-1
132,No,Third,"Coelho, Mr. Domingos Fernandeo",male,Young Adults (19-30),0,0,SOTON/O.Q. 3101307,7.05,UNK,S,True,UNK,0,Coelho,Mr,0,-1,-1
133,No,Third,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,Middle Age (46-60),1,0,A/5. 3337,14.5,UNK,S,False,UNK,0,Robins,Mrs,1,-1,-1
134,Yes,Second,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,Young Adults (19-30),1,0,228414,26.0,UNK,S,False,UNK,0,Weisz,Mrs,1,-1,-1
135,No,Second,"Sobey, Mr. Samuel James Hayden",male,Young Adults (19-30),0,0,C.A. 29178,13.0,UNK,S,True,UNK,0,Sobey,Mr,0,-1,-1
136,No,Second,"Richard, Mr. Emile",male,Young Adults (19-30),0,0,SC/PARIS 2133,15.0458,UNK,C,True,UNK,0,Richard,Mr,0,-1,-1
137,Yes,First,"Newsom, Miss. Helen Monypeny",female,Young Adults (19-30),0,2,11752,26.2833,D47,S,False,D,1,Newsom,Miss,2,-1,-1
138,No,First,"Futrelle, Mr. Jacques Heath",male,Adults (31-45),1,0,113803,53.1,C123,S,False,C,1,Futrelle,Mr,1,14,0
139,No,Third,"Osen, Mr. Olaf Elon",male,Teens (13-18),0,0,7534,9.2167,UNK,S,True,UNK,0,Osen,Mr,0,-1,-1
140,No,First,"Giglio, Mr. Victor",male,Young Adults (19-30),0,0,PC 17593,79.2,B86,C,True,B,1,Giglio,Mr,0,-1,-1
141,No,Third,"Boulos, Mrs. Joseph (Sultana)",female,Young Adults (19-30),0,2,2678,15.2458,UNK,C,False,UNK,0,Boulos,Mrs,2,-1,-1
142,Yes,Third,"Nysten, Miss. Anna Sofia",female,Young Adults (19-30),0,0,347081,7.75,UNK,S,True,UNK,0,Nysten,Miss,0,-1,-1
143,Yes,Third,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,Young Adults (19-30),1,0,STON/O2. 3101279,15.85,UNK,S,False,UNK,0,Hakkarainen,Mrs,1,18,0
144,No,Third,"Burke, Mr. Jeremiah",male,Young Adults (19-30),0,0,365222,6.75,UNK,Q,True,UNK,0,Burke,Mr,0,-1,-1
145,No,Second,"Andrew, Mr. Edgardo Samuel",male,Teens (13-18),0,0,231945,11.5,UNK,S,True,UNK,0,Andrew,Mr,0,-1,-1
146,No,Second,"Nicholls, Mr. Joseph Charles",male,Young Adults (19-30),1,1,C.A. 33112,36.75,UNK,S,False,UNK,0,Nicholls,Mr,2,-1,-1
147,Yes,Third,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,Young Adults (19-30),0,0,350043,7.7958,UNK,S,True,UNK,0,Andersson,Mr,0,-1,-1
148,No,Third,"Ford, Miss. Robina Maggie ""Ruby""",female,Infants (0-12),2,2,W./C. 6608,34.375,UNK,S,False,UNK,0,Ford,Miss,4,-1,-1
149,No,Second,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,Adults (31-45),0,2,230080,26.0,F2,S,False,F,1,Navratil,Mr,2,36,0
150,No,Second,"Byles, Rev. Thomas Roussel Davids",male,Adults (31-45),0,0,244310,13.0,UNK,S,True,UNK,0,Byles,Rev,0,-1,-1
151,No,Second,"Bateman, Rev. Robert James",male,Middle Age (46-60),0,0,S.O.P. 1166,12.525,UNK,S,True,UNK,0,Bateman,Rev,0,-1,-1
152,Yes,First,"Pears, Mrs. Thomas (Edith Wearne)",female,Young Adults (19-30),1,0,113776,66.6,C2,S,False,C,1,Pears,Mrs,1,41,0
153,No,Third,"Meo, Mr. Alfonzo",male,Middle Age (46-60),0,0,A.5. 11206,8.05,UNK,S,True,UNK,0,Meo,Mr,0,-1,-1
154,No,Third,"van Billiard, Mr. Austin Blyler",male,Adults (31-45),0,2,A/5. 851,14.5,UNK,S,False,UNK,0,van Billiard,Mr,2,-1,-1
155,No,Third,"Olsen, Mr. Ole Martin",male,Young Adults (19-30),0,0,Fa 265302,7.3125,UNK,S,True,UNK,0,Olsen,Mr,0,-1,-1
156,No,First,"Williams, Mr. Charles Duane",male,Middle Age (46-60),0,1,PC 17597,61.3792,UNK,C,False,UNK,0,Williams,Mr,1,-1,-1
157,Yes,Third,"Gilnagh, Miss. Katherine ""Katie""",female,Teens (13-18),0,0,35851,7.7333,UNK,Q,True,UNK,0,Gilnagh,Miss,0,-1,-1
158,No,Third,"Corn, Mr. Harry",male,Young Adults (19-30),0,0,SOTON/OQ 392090,8.05,UNK,S,True,UNK,0,Corn,Mr,0,-1,-1
159,No,Third,"Smiljanic, Mr. Mile",male,Young Adults (19-30),0,0,315037,8.6625,UNK,S,True,UNK,0,Smiljanic,Mr,0,-1,-1
160,No,Third,"Sage, Master. Thomas Henry",male,Young Adults (19-30),8,2,CA. 2343,69.55,UNK,S,False,UNK,0,Sage,Master,10,-1,-1
161,No,Third,"Cribb, Mr. John Hatfield",male,Adults (31-45),0,1,371362,16.1,UNK,S,False,UNK,0,Cribb,Mr,1,-1,-1
162,Yes,Second,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,Adults (31-45),0,0,C.A. 33595,15.75,UNK,S,True,UNK,0,Watt,Mrs,0,-1,-1
163,No,Third,"Bengtsson, Mr. John Viktor",male,Young Adults (19-30),0,0,347068,7.775,UNK,S,True,UNK,0,Bengtsson,Mr,0,-1,-1
164,No,Third,"Calic, Mr. Jovo",male,Teens (13-18),0,0,315093,8.6625,UNK,S,True,UNK,0,Calic,Mr,0,-1,-1
165,No,Third,"Panula, Master. Eino Viljami",male,Infants (0-12),4,1,3101295,39.6875,UNK,S,False,UNK,0,Panula,Master,5,40,0
166,Yes,Third,"Goldsmith, Master. Frank John William ""Frankie""",male,Infants (0-12),0,2,363291,20.525,UNK,S,False,UNK,0,Goldsmith,Master,2,16,0
167,Yes,First,"Chibnall, Mrs. (Edith Martha Bowerman)",female,Adults (31-45),0,1,113505,55.0,E33,S,False,E,1,Chibnall,Mrs,1,-1,-1
168,No,Third,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,Adults (31-45),1,4,347088,27.9,UNK,S,False,UNK,0,Skoog,Mrs,5,44,0
169,No,First,"Baumann, Mr. John D",male,Adults (31-45),0,0,PC 17318,25.925,UNK,S,True,UNK,0,Baumann,Mr,0,-1,-1
170,No,Third,"Ling, Mr. Lee",male,Young Adults (19-30),0,0,1601,56.4958,UNK,S,True,UNK,0,Ling,Mr,0,-1,-1
